level,interval,e_min,e_max,n_points
15,26,5.538847117794486,5.538847117794486,1
15,27,5.639097744360902,5.639097744360902,1
15,28,5.68922305764411,5.68922305764411,1
15,29,5.739348370927318,5.764411027568922,2
15,30,5.81453634085213,5.81453634085213,1
15,31,5.864661654135338,5.864661654135338,1
15,32,5.9147869674185465,5.9147869674185465,1
15,33,5.989974937343358,6.015037593984962,2
15,34,6.06516290726817,6.06516290726817,1
15,35,6.19047619047619,6.19047619047619,1
15,36,6.265664160401002,6.265664160401002,1
15,37,6.365914786967418,6.365914786967418,1
15,38,6.416040100250626,6.491228070175438,4
15,39,6.641604010025063,6.666666666666666,2
15,40,6.716791979949875,6.716791979949875,1
15,41,6.7669172932330826,6.81704260651629,3
15,42,6.8922305764411025,6.94235588972431,3
15,43,7.017543859649122,7.06766917293233,3
15,44,7.117794486215539,7.2180451127819545,5
15,45,7.393483709273182,7.393483709273182,1
15,46,7.443609022556391,7.468671679197994,2
15,47,7.969924812030075,7.969924812030075,1
15,48,8.170426065162907,8.170426065162907,1
15,49,8.295739348370926,8.295739348370926,1
15,50,8.345864661654135,8.345864661654135,1
15,51,8.421052631578947,8.421052631578947,1
15,52,8.646616541353383,8.646616541353383,1
15,53,8.947368421052632,8.947368421052632,1
15,54,8.997493734335839,8.997493734335839,1
15,55,9.223057644110275,9.248120300751879,2
15,56,9.3734335839599,9.3734335839599,1
15,57,9.498746867167918,9.548872180451127,3
15,58,9.649122807017543,9.649122807017543,1
15,59,9.899749373433583,9.899749373433583,1
16,0,0.0,0.0,1
16,1,2.0050125313283207,2.0551378446115285,3
16,2,2.832080200501253,2.8571428571428568,2
16,3,2.9573934837092732,2.9573934837092732,1
16,4,3.032581453634085,3.032581453634085,1
16,5,3.107769423558897,3.107769423558897,1
16,6,3.1578947368421053,3.1578947368421053,1
16,7,3.258145363408521,3.2832080200501252,2
16,8,3.333333333333333,3.333333333333333,1
16,9,3.533834586466165,3.5588972431077694,2
16,10,3.6090225563909772,3.6842105263157894,4
16,11,3.734335839598997,3.7593984962406015,2
16,12,3.834586466165413,3.834586466165413,1
16,13,3.9097744360902253,3.9598997493734336,3
