g,level_2_energy,level_2_status,level_3_energy,level_3_status,level_4_energy,level_4_status,level_5_energy,level_5_status,level_6_energy,level_6_status
0.05,100.43239241931444,clarabel:optimal:cert,nan,scs:optimal_inaccurate:uncert,100.49987157277678,clarabel:optimal:cert,nan,scs:optimal_inaccurate:uncert,100.50667264657973,clarabel:optimal:cert
0.1325,14.668018280972543,clarabel:optimal:cert,14.73676822538682,clarabel:optimal:cert,14.73771484488703,clarabel:optimal:cert,nan,scs:optimal_inaccurate:uncert,14.739715018168088,clarabel:optimal:cert
0.21500000000000002,5.82834078736282,clarabel:optimal:cert,5.900374875223104,clarabel:optimal:cert,5.902870038520413,clarabel:optimal:cert,5.9058426499711745,clarabel:optimal:cert,5.905943335639851,clarabel:optimal:cert
0.2975,3.2327796016158445,clarabel:optimal:cert,3.310513806238913,clarabel:optimal:cert,3.3150492189613554,clarabel:optimal:cert,3.320461313233383,clarabel:optimal:cert,3.3204736953524217,clarabel:optimal:cert
0.38,2.123702146193756,clarabel:optimal:cert,2.210236174132507,clarabel:optimal:cert,2.217338481778357,clarabel:optimal:cert,2.225446532695231,clarabel:optimal:cert,2.2254892674018967,clarabel:optimal:cert
0.4625,1.5415878767725275,clarabel:optimal:cert,1.640627003372722,clarabel:optimal:cert,1.650616804749628,clarabel:optimal:cert,1.6615089147983495,clarabel:optimal:cert,1.6615807504713445,clarabel:optimal:cert
0.545,1.1911544178558728,clarabel:optimal:cert,1.3068477962560299,clarabel:optimal:cert,1.3199135846062928,clarabel:optimal:cert,1.3335387975262238,clarabel:optimal:cert,1.3336525639001997,clarabel:optimal:cert
0.6275000000000001,0.9571793186290318,clarabel:optimal:cert,1.0939530158739041,clarabel:optimal:cert,1.11017423721158,clarabel:optimal:cert,1.1263903797097465,clarabel:optimal:cert,1.126556900858309,clarabel:optimal:cert
0.7100000000000001,0.7871679265842476,clarabel:optimal:cert,0.9495904883942159,clarabel:optimal:cert,0.9689662166588523,clarabel:optimal:cert,0.9876285253329499,clarabel:optimal:cert,0.9878048307579338,clarabel:optimal:cert
0.7925000000000001,0.6544254016097911,clarabel:optimal:cert,0.847115052848889,clarabel:optimal:cert,0.8696039820662572,clarabel:optimal:cert,0.8906391220379413,clarabel:optimal:cert,0.8907986059965373,clarabel:optimal_inaccurate:cert
0.8750000000000001,0.5442112897210847,clarabel:optimal:cert,0.7717785451780387,clarabel:optimal:cert,0.7973199812241827,clarabel:optimal:cert,0.820625226222863,clarabel:optimal:cert,0.8205865916772266,clarabel:optimal:cert
0.9575000000000001,0.44784670451035247,clarabel:optimal:cert,0.714862412775962,clarabel:optimal:cert,0.7429035529763741,clarabel:optimal:cert,0.7687028246702738,clarabel:optimal:cert,0.7686353310592313,clarabel:optimal:cert
1.04,0.3599517560626131,clarabel:optimal:cert,0.6709315428508501,clarabel:optimal:cert,0.7018272140332074,clarabel:optimal:cert,0.7295094173482761,clarabel:optimal:cert,0.7294577910679518,clarabel:optimal:cert
1.1225,0.2770476640109596,clarabel:optimal:cert,0.6364462717303361,clarabel:optimal:cert,0.6702538552634563,clarabel:optimal:cert,0.6994663459654953,clarabel:optimal:cert,0.6995551459247356,clarabel:optimal_inaccurate:cert
